qnum,topic,prompt,choices,answer_index,hint,explanation,difficulty_label,difficulty_level
401,동물·곤충·뱀 사고,개에게 물렸을 때 응급 처치는?,"[""상처를 빨아낸다"",""흐르는 물과 비누로 씻고 병원을 방문한다"",""그냥 둔다"",""술로 소독한다""]",1,동물에게 물린 상처는 감염 위험이 높습니다.,깨끗한 물과 비누로 충분히 씻고 파상풍과 광견병 예방을 위해 병원에 가세요.,쉬움,1
402,동물·곤충·뱀 사고,벌에 쏘인 후 벌침을 빼는 방법은?,"[""손가락으로 집어 뺀다"",""신용카드 등으로 긁어서 빼낸다"",""그냥 둔다"",""입으로 빨아낸다""]",1,집어서 빼면 독주머니를 눌러 독이 더 들어갑니다.,신용카드나 손톱으로 옆으로 긁어서 빼면 독주머니를 누르지 않습니다.,쉬움,1
403,동물·곤충·뱀 사고,벌에 쏘인 후 아나필락시스 증상은?,"[""가려움만 있다"",""호흡곤란 부종 어지러움 혈압 저하"",""아무 증상 없다"",""배가 아프다""]",1,아나필락시스는 생명을 위협하는 알레르기 반응입니다.,호흡곤란 전신 부종 어지러움이 있으면 즉시 응급실로 가세요.,보통,2
404,동물·곤충·뱀 사고,모기에 물렸을 때 가려움 완화법은?,"[""긁어서 푼다"",""냉찜질이나 항히스타민제를 바른다"",""뜨거운 물을 붓는다"",""침을 바른다""]",1,긁으면 감염과 흉터가 생깁니다.,냉찜질로 가려움을 줄이고 긁지 마세요.,쉬움,1
405,동물·곤충·뱀 사고,뱀에 물렸을 때 잘못된 행동은?,"[""움직임을 최소화한다"",""상처를 입으로 빨아낸다"",""병원에 빨리 간다"",""물린 부위를 심장보다 낮게 한다""]",1,입으로 빨아내는 것은 효과가 없고 위험합니다.,상처를 절개하거나 입으로 빨지 말고 안정을 취하며 빨리 병원에 가세요.,쉬움,1
406,동물·곤충·뱀 사고,고양이에게 물렸을 때 주의점은?,"[""개보다 덜 위험하다"",""세균 감염 위험이 높아 반드시 병원에 간다"",""소독만 하면 된다"",""물린 상처는 낫기 쉽다""]",1,고양이 이빨은 가늘고 깊이 들어가 감염이 잘 됩니다.,고양이에게 물린 상처는 감염률이 높으므로 반드시 병원 진료를 받으세요.,보통,2
407,동물·곤충·뱀 사고,진드기에 물렸을 때?,"[""손으로 뜯어낸다"",""핀셋으로 머리까지 조심히 빼고 병원에 간다"",""그냥 둔다"",""불로 지진다""]",1,진드기 머리가 남으면 감염 위험이 있습니다.,핀셋으로 피부 가까이 잡고 수직으로 뽑은 후 병원에서 검사받으세요.,보통,2
408,동물·곤충·뱀 사고,해파리에 쏘였을 때?,"[""민물로 씻는다"",""바닷물로 씻고 촉수를 제거한다"",""문지른다"",""알코올을 붓는다""]",1,민물은 자포를 터뜨려 독을 더 방출합니다.,바닷물로 씻고 촉수는 장갑을 끼고 제거하세요.,보통,2
409,동물·곤충·뱀 사고,광견병의 위험성은?,"[""치료하면 낫는다"",""발병 후에는 거의 100% 사망한다"",""동물만 걸린다"",""예방할 수 없다""]",1,광견병은 발병 전 예방이 유일한 방법입니다.,광견병은 발병 후 치료가 없으므로 동물에게 물리면 즉시 예방 접종을 받으세요.,어려움,3
410,동물·곤충·뱀 사고,말벌과 꿀벌의 차이점은?,"[""독이 없다"",""말벌은 여러 번 쏠 수 있고 독이 더 강하다"",""꿀벌이 더 위험하다"",""같은 벌이다""]",1,말벌은 침이 빠지지 않아 여러 번 쏠 수 있습니다.,말벌은 공격성이 강하고 독이 강해 특히 주의가 필요합니다.,보통,2
411,동물·곤충·뱀 사고,벌레 물림 후 감염 징후는?,"[""가려움만 있다"",""점점 커지는 붓기 고름 발열 붉은 줄"",""바로 낫는다"",""증상이 없다""]",1,감염은 치료하지 않으면 악화됩니다.,물린 곳이 점점 붓고 붉어지며 고름이나 열이 나면 병원에 가세요.,보통,2
412,동물·곤충·뱀 사고,야외 활동 시 벌레 예방법은?,"[""향수를 뿌린다"",""긴 옷을 입고 기피제를 사용한다"",""밝은 색 옷만 입는다"",""예방할 수 없다""]",1,노출을 줄이고 기피제가 효과적입니다.,긴 소매 긴 바지를 입고 DEET 성분의 기피제를 사용하세요.,쉬움,1
413,동물·곤충·뱀 사고,독거미에 물렸을 때?,"[""상관없다"",""증상을 관찰하고 심하면 병원에 간다"",""한국에 독거미가 없다"",""소독만 하면 된다""]",1,일부 거미는 독이 있어 주의가 필요합니다.,물린 부위를 씻고 얼음찜질하며 증상이 심해지면 병원에 가세요.,보통,2
414,동물·곤충·뱀 사고,쥐에게 물렸을 때?,"[""소독만 한다"",""감염과 질병 위험이 있어 병원에 간다"",""쥐는 해롭지 않다"",""그냥 둔다""]",1,쥐는 여러 질병을 옮길 수 있습니다.,쥐에게 물리면 감염과 쥐교증 등의 위험이 있으니 병원에 가세요.,보통,2
