741,정신건강·스트레스,스트레스가 지속되면?,"[""건강에 문제없다"",""면역력 저하와 각종 질병 위험이 높아진다"",""스트레스는 건강에 좋다"",""몸에 영향 없다""]",1,만성 스트레스는 몸에 해롭습니다.,지속적인 스트레스는 면역력을 떨어뜨리고 질병 위험을 높입니다.,보통,2
742,정신건강·스트레스,불안 증상 완화에 도움되는 것은?,"[""카페인을 많이 마신다"",""깊은 호흡과 명상"",""불안을 무시한다"",""음주로 해결한다""]",1,호흡법은 자율신경을 안정시킵니다.,깊은 호흡과 명상이 불안 완화에 효과적입니다.,쉬움,1
743,정신건강·스트레스,우울증 증상으로 맞는 것은?,"[""항상 기분이 좋다"",""지속적인 슬픔, 무기력, 흥미 상실"",""에너지가 넘친다"",""식욕이 항상 좋다""]",1,우울증은 감정과 에너지에 영향을 줍니다.,2주 이상 지속되는 우울감은 전문가 상담이 필요합니다.,보통,2
744,정신건강·스트레스,수면 부족이 건강에 미치는 영향은?,"[""영향 없다"",""집중력 저하, 면역력 감소, 사고 위험 증가"",""오히려 건강해진다"",""수면은 중요하지 않다""]",1,수면은 회복에 필수적입니다.,수면 부족은 인지 기능과 면역력에 악영향을 줍니다.,쉬움,1
745,정신건강·스트레스,번아웃 증후군 예방법은?,"[""일을 더 열심히 한다"",""적절한 휴식과 업무-생활 균형 유지"",""휴식은 게으름이다"",""잠을 줄인다""]",1,과로는 번아웃을 유발합니다.,규칙적인 휴식과 워라밸이 번아웃 예방에 중요합니다.,보통,2
746,정신건강·스트레스,공황발작 시 대처법은?,"[""더 긴장한다"",""천천히 깊게 호흡하며 안전한 곳에서 진정한다"",""뛰어다닌다"",""숨을 참는다""]",1,호흡 조절이 도움됩니다.,공황발작 시 느리게 호흡하고 안전한 곳에서 쉬세요.,어려움,3
747,정신건강·스트레스,운동이 정신건강에 미치는 영향은?,"[""정신건강과 관계없다"",""엔도르핀 분비로 기분 개선에 도움"",""우울해진다"",""스트레스가 증가한다""]",1,운동은 기분 좋은 호르몬을 분비합니다.,규칙적인 운동은 우울증과 불안 완화에 효과적입니다.,쉬움,1
748,정신건강·스트레스,명상의 효과는?,"[""효과 없다"",""스트레스 감소와 집중력 향상"",""불안이 증가한다"",""시간 낭비다""]",1,명상은 뇌 구조에도 영향을 줍니다.,규칙적인 명상은 스트레스 감소와 정신 건강에 도움이 됩니다.,쉬움,1
749,정신건강·스트레스,불면증 개선법은?,"[""잠자리에서 TV를 본다"",""규칙적인 수면 시간과 편안한 수면 환경 유지"",""카페인을 밤에 마신다"",""낮에 오래 잔다""]",1,수면 위생이 중요합니다.,규칙적인 취침 시간과 편안한 환경이 불면증 개선에 도움됩니다.,보통,2
750,정신건강·스트레스,사회적 고립이 건강에 미치는 영향은?,"[""건강해진다"",""우울증, 치매 등 질병 위험이 높아진다"",""영향 없다"",""오히려 좋다""]",1,사회적 연결은 건강에 중요합니다.,사회적 고립은 정신적, 신체적 건강에 부정적 영향을 줍니다.,보통,2
751,정신건강·스트레스,알코올이 수면에 미치는 영향은?,"[""수면 질을 높인다"",""처음엔 졸리지만 수면의 질을 떨어뜨린다"",""깊은 잠을 잔다"",""수면에 영향 없다""]",1,알코올은 렘수면을 방해합니다.,음주는 수면의 질을 저하시키므로 피하는 것이 좋습니다.,보통,2
752,정신건강·스트레스,심리상담이 필요한 경우는?,"[""절대 필요 없다"",""일상생활에 지장이 있을 정도의 심리적 어려움"",""강한 사람만 간다"",""비용 낭비다""]",1,전문가 도움이 필요할 때가 있습니다.,일상에 지장을 주는 심리적 어려움은 전문가 상담을 받으세요.,쉬움,1
753,정신건강·스트레스,자살 예방을 위한 대처는?,"[""무시한다"",""경청하고 전문 기관에 연결해준다"",""혼자 해결하라 한다"",""비밀로 한다""]",1,전문가 연결이 중요합니다.,자살 징후가 보이면 경청하고 자살예방상담전화 1393에 연결하세요.,어려움,3
754,정신건강·스트레스,긍정적 사고의 건강 효과는?,"[""효과 없다"",""스트레스 감소와 면역력 향상에 도움"",""부정적 사고가 좋다"",""건강과 무관하다""]",1,마음과 몸은 연결되어 있습니다.,긍정적 사고는 스트레스를 줄이고 건강에 도움이 됩니다.,쉬움,1
755,정신건강·스트레스,스마트폰 과사용이 정신건강에 미치는 영향은?,"[""영향 없다"",""불안, 우울, 수면 장애 위험 증가"",""정신건강이 좋아진다"",""집중력이 높아진다""]",1,디지털 디톡스가 필요할 수 있습니다.,과도한 스마트폰 사용은 정신건강에 부정적 영향을 줄 수 있습니다.,보통,2
756,정신건강·스트레스,분노 조절법으로 적절한 것은?,"[""참지 말고 폭발한다"",""심호흡 후 자리를 피해 진정한다"",""물건을 던진다"",""소리를 지른다""]",1,감정 조절은 연습이 필요합니다.,분노가 느껴지면 심호흡하고 잠시 자리를 피해 진정하세요.,보통,2
757,정신건강·스트레스,만성 피로 해결법은?,"[""카페인을 더 마신다"",""충분한 수면과 균형 잡힌 생활"",""피로는 무시한다"",""잠을 줄인다""]",1,생활 습관 개선이 중요합니다.,만성 피로는 수면, 영양, 운동의 균형으로 개선될 수 있습니다.,보통,2
758,정신건강·스트레스,취미 활동의 건강 효과는?,"[""시간 낭비다"",""스트레스 해소와 정신건강 향상"",""건강과 무관하다"",""피곤해진다""]",1,즐거운 활동은 정신건강에 좋습니다.,취미 활동은 스트레스를 줄이고 삶의 질을 높여줍니다.,쉬움,1
