qnum,topic,prompt,choices,answer_index,hint,explanation,difficulty_label,difficulty_level
601,치아·구강 응급·위생,올바른 칫솔질 방법은?,"[""가로로 세게 문지른다"",""잇몸에서 치아 방향으로 쓸어내린다"",""치아만 닦으면 된다"",""하루에 한 번이면 충분하다""]",1,칫솔질 방향이 중요합니다.,잇몸에서 치아 방향으로 45도 각도로 닦고 하루 2-3회 닦으세요.,쉬움,1
602,치아·구강 응급·위생,치실 사용의 중요성은?,"[""필요 없다"",""칫솔이 닿지 않는 치아 사이를 청소한다"",""치아를 손상시킨다"",""한 달에 한 번만""]",1,치아 사이에 음식물과 플라그가 쌓입니다.,매일 치실로 치아 사이를 청소하면 충치와 잇몸 질환을 예방합니다.,쉬움,1
603,치아·구강 응급·위생,충치 예방법은?,"[""설탕을 많이 먹는다"",""불소 치약 사용과 정기 검진"",""양치질을 안 한다"",""탄산음료를 많이 마신다""]",1,불소는 치아를 강화합니다.,불소 치약 사용 설탕 섭취 줄이기 정기 검진으로 충치를 예방하세요.,쉬움,1
604,치아·구강 응급·위생,잇몸에서 피가 나면?,"[""양치질을 멈춘다"",""부드러운 칫솔로 계속 닦고 치과를 방문한다"",""무시한다"",""더 세게 닦는다""]",1,잇몸 출혈은 잇몸 질환의 신호입니다.,부드러운 칫솔로 양치하고 지속되면 치과에서 검사받으세요.,쉬움,1
605,치아·구강 응급·위생,치아가 부러졌을 때?,"[""그냥 둔다"",""부러진 조각을 우유에 넣고 즉시 치과로 간다"",""버린다"",""테이프로 붙인다""]",1,부러진 조각을 재부착할 수 있습니다.,부러진 조각을 우유나 침에 보관하고 즉시 치과로 가세요.,보통,2
606,치아·구강 응급·위생,치통이 심할 때 응급 조치는?,"[""아스피린을 잇몸에 대다"",""진통제를 먹고 냉찜질 후 치과 방문"",""뜨거운 것을 물고 있는다"",""무시한다""]",1,아스피린을 잇몸에 대면 화학적 화상이 생깁니다.,진통제를 먹고 볼에 냉찜질하며 빨리 치과에 가세요.,보통,2
607,치아·구강 응급·위생,구내염이 생겼을 때?,"[""자극적인 음식을 먹는다"",""자극을 피하고 청결히 유지하며 2주 이상 지속되면 병원 방문"",""손으로 뜯는다"",""술로 소독한다""]",1,대부분 구내염은 1-2주 내에 낫습니다.,자극적인 음식을 피하고 2주 이상 지속되면 병원에서 확인받으세요.,쉬움,1
608,치아·구강 응급·위생,칫솔 교체 주기는?,"[""1년에 한 번"",""3개월마다 또는 닳으면"",""5년에 한 번"",""교체할 필요 없다""]",1,닳은 칫솔은 효과가 떨어집니다.,3개월마다 또는 솔이 벌어지면 교체하세요.,쉬움,1
609,치아·구강 응급·위생,아이의 유치가 빠지려 할 때?,"[""실로 묶어 뽑는다"",""자연스럽게 빠지게 두거나 흔들어 빠뜨린다"",""바로 치과에 간다"",""무리하게 뽑는다""]",1,유치는 자연스럽게 빠지는 것이 좋습니다.,너무 흔들리면 살짝 흔들어 빠뜨리고 무리하게 뽑지 마세요.,쉬움,1
610,치아·구강 응급·위생,사랑니가 아플 때?,"[""집에서 뽑는다"",""진통제를 먹고 치과에서 상담한다"",""무시한다"",""술을 마신다""]",1,사랑니 통증은 감염이나 위치 문제일 수 있습니다.,진통제로 통증을 조절하고 치과에서 발치 여부를 상담하세요.,보통,2
611,치아·구강 응급·위생,치아 미백의 주의점은?,"[""자주 할수록 좋다"",""과도하면 치아 민감도가 높아질 수 있다"",""집에서 표백제를 쓴다"",""매일 해야 한다""]",1,과도한 미백은 치아를 손상시킵니다.,미백은 치과 상담 후 적절히 하고 과도한 사용은 피하세요.,보통,2
