qnum,topic,prompt,choices,answer_index,hint,explanation,difficulty_label,difficulty_level
201,감기·호흡기 오해,감기와 독감의 차이점으로 옳은 것은?,"[""둘 다 같은 바이러스가 원인이다"",""독감은 갑작스러운 고열과 심한 근육통이 특징이다"",""감기가 독감보다 더 위험하다"",""독감은 항생제로 치료한다""]",1,감기는 서서히 독감은 갑자기 시작되는 특징을 생각해보세요.,독감은 인플루엔자 바이러스로 인해 갑작스러운 고열과 전신 증상이 나타납니다.,쉬움,1
202,감기·호흡기 오해,기침할 때 올바른 에티켓은?,"[""손바닥으로 입을 가린다"",""팔꿈치 안쪽으로 입을 가린다"",""고개를 돌려 기침한다"",""마스크를 벗고 기침한다""]",1,손으로 가리면 손에 바이러스가 묻어 전파될 수 있습니다.,팔꿈치 안쪽으로 가리면 손을 통한 전파를 막을 수 있습니다.,쉬움,1
203,감기·호흡기 오해,감기에 걸렸을 때 가장 중요한 것은?,"[""항생제 복용"",""충분한 휴식과 수분 섭취"",""격렬한 운동으로 땀 빼기"",""사우나에서 땀 빼기""]",1,바이러스 감염은 면역력으로 이겨내야 합니다.,충분한 휴식과 수분 섭취로 면역력을 유지하는 것이 중요합니다.,쉬움,1
204,감기·호흡기 오해,목이 아플 때 도움이 되는 것은?,"[""차가운 음료만 마신다"",""따뜻한 물이나 꿀물을 마신다"",""목을 세게 문지른다"",""큰 소리로 말해서 풀어준다""]",1,따뜻한 음료는 목의 점막을 보호하고 통증을 완화합니다.,따뜻한 물이나 꿀물은 목 점막을 촛촉하게 유지하고 통증을 줄여줍니다.,쉬움,1
205,감기·호흡기 오해,코막힘을 완화하는 방법으로 적절한 것은?,"[""코를 세게 풀어 한 번에 뺀다"",""따뜻한 수증기를 쐰다"",""코를 손가락으로 막고 숨을 참는다"",""찬 공기를 마신다""]",1,수증기는 코 점막의 부기를 줄이고 분비물 배출을 돕습니다.,따뜻한 수증기는 코 점막을 촉촉하게 하고 코막힘을 완화합니다.,쉬움,1
206,감기·호흡기 오해,감기 예방에 효과적인 방법은?,"[""마늘을 목에 걸고 다닌다"",""손을 자주 씻는다"",""찬물 샤워를 매일 한다"",""술을 마셔 소독한다""]",1,손씻기는 감염병 예방의 가장 기본적인 방법입니다.,바이러스는 주로 손을 통해 전파되므로 손씻기가 중요합니다.,쉬움,1
207,감기·호흡기 오해,재채기를 참으면 어떻게 될 수 있나요?,"[""아무 문제 없다"",""귀나 혈관에 손상을 줄 수 있다"",""면역력이 높아진다"",""감기가 빨리 낫는다""]",1,재채기의 압력은 매우 높아서 억지로 참으면 위험합니다.,재채기를 참으면 압력이 귀나 혈관으로 가해져 손상을 줄 수 있습니다.,보통,2
208,감기·호흡기 오해,환절기에 감기 예방을 위해 좋은 습관은?,"[""창문을 꼭 닫아둔다"",""실내 환기를 자주 한다"",""에어컨을 최대로 튼다"",""사람 많은 곳에 자주 간다""]",1,환기는 실내 바이러스 농도를 낮추는 데 효과적입니다.,정기적인 환기로 실내 공기를 깨끗하게 유지하세요.,쉬움,1
209,감기·호흡기 오해,감기약을 먹으면 감기가 빨리 낫는다?,"[""그렇다"",""증상 완화일 뿐 치료 기간은 비슷하다"",""오히려 더 오래 간다"",""항생제와 함께 먹어야 효과가 있다""]",1,감기약은 증상 완화제이지 원인 치료제가 아닙니다.,감기약은 불편한 증상을 줄여주지만 바이러스 자체를 없애지는 않습니다.,보통,2
210,감기·호흡기 오해,콧물 색깔이 노랗거나 초록색이면 항생제가 필요하다?,"[""반드시 필요하다"",""색깔만으로 판단할 수 없다"",""투명할 때만 필요하다"",""색깔이 진할수록 심각하다""]",1,콧물 색깔은 염증 반응의 결과이지 세균 감염의 확실한 증거가 아닙니다.,노란색 콧물은 백혈구와 분비물이 섞인 것으로 바이러스 감염에서도 나타납니다.,보통,2
